repeater,frequency,length,total_seeds,expected,productivity_ratio
ode,2,3,7,3.05,2.3
etch,7,4,4,0.11,37.85
ech,3,3,8,3.46,2.31
dd,3,2,2,11.65,0.17
loi,2,3,1,0.75,1.33
oeee,2,4,5,0.55,9.04
okcho,3,5,1,0.01,68.75
eet,2,3,4,1.95,2.05
oet,2,3,1,2.51,0.4
kchod,5,5,1,0.01,195.94
ysh,8,3,10,0.99,10.07
dai,3,3,12,0.3,40.59
oto,6,3,3,3.23,0.93
ok,81,2,53,32.59,1.63
cfhh,2,4,2,0.03,67.3
ir,8,2,13,3.72,3.49
okyd,2,4,1,0.04,24.76
ssh,2,3,2,1.51,1.33
py,2,2,9,3.81,2.36
of,6,2,14,8.02,1.75
lch,7,3,20,1.45,13.75
cpho,10,4,6,0.07,88.75
odaii,3,5,4,0.0,6995.73
eo,177,2,144,71.4,2.02
hor,3,3,11,1.58,6.94
ds,2,2,26,14.1,1.84
it,2,2,8,5.66,1.41
la,2,2,15,11.24,1.33
ctho,6,4,8,0.14,58.75
yte,12,3,14,0.7,19.92
eeos,4,4,7,0.3,23.11
qek,2,3,4,0.11,35.59
sho,10,3,28,3.54,7.9
og,2,2,5,2.94,1.7
ocph,6,4,5,0.07,73.96
yta,6,3,6,0.33,18.19
eee,6,3,22,5.23,4.21
cho,37,3,75,4.46,16.83
ota,3,3,3,1.18,2.54
ld,11,2,30,10.83,2.77
opcho,2,5,3,0.01,500.04
oda,5,3,20,1.43,13.97
in,2,2,16,0.45,35.9
rsh,2,3,5,0.67,7.42
eees,8,4,9,0.24,38.28
ed,2,2,9,25.6,0.35
rar,2,3,5,0.15,33.96
lee,2,3,4,2.2,1.82
old,3,3,14,1.28,10.92
ho,45,2,143,68.64,2.08
yteo,3,4,6,0.07,80.86
ta,2,2,19,9.97,1.91
op,19,2,30,13.56,2.21
ot,62,2,29,27.15,1.07
yto,12,3,11,0.91,12.15
ekch,4,4,1,0.13,7.86
tod,6,3,4,1.14,3.52
aiph,2,4,1,0.01,105.16
*e,2,2,5,7.21,0.69
yd,18,2,44,9.3,4.73
orch,4,4,3,0.09,33.52
sy,2,2,6,11.25,0.53
iino,2,4,2,0.0,1747.56
tee,5,3,10,1.95,5.13
tcho,14,4,8,0.14,58.75
dykch,3,5,1,0.0,700.59
es,11,2,48,30.94,1.55
oo,2,2,5,91.12,0.05
hes,2,3,3,2.75,1.09
hols,2,4,6,0.12,49.08
ra,3,2,32,6.56,4.88
ofch,10,4,5,0.04,125.37
keo,22,3,18,3.02,5.96
fo,4,2,13,8.02,1.62
chod,5,4,7,0.17,42.33
ek,34,2,27,25.38,1.06
ai,31,2,60,7.13,8.42
ote,3,3,4,2.51,1.59
dy,2,2,19,9.3,2.04
yckh,2,4,2,0.05,43.63
okal,2,4,2,0.05,40.91
ct,2,2,39,14.6,2.67
oyt,3,3,2,0.91,2.21
eeo,23,3,33,6.73,4.9
opo,2,3,8,1.61,4.98
oii,3,3,3,0.48,6.28
eke,9,3,12,2.35,5.12
kalch,3,5,1,0.0,578.7
ychos,2,5,1,0.0,201.07
lche,2,4,4,0.12,33.54
oyd,2,3,1,1.1,0.91
ches,2,4,1,0.16,6.43
ea,7,2,31,26.57,1.17
eeckh,3,5,3,0.01,342.45
ksho,13,4,2,0.13,15.34
cheo,8,4,18,0.37,49.22
keos,4,4,2,0.14,14.73
al,41,2,76,11.24,6.76
qkh,2,3,1,0.11,9.27
ka,7,2,20,11.99,1.67
oke,9,3,15,3.02,4.97
chd,2,3,9,1.57,5.75
sa,2,2,15,14.64,1.02
ar,15,2,42,6.56,6.4
odai,6,4,6,0.03,192.2
oct,4,3,16,1.73,9.25
kee,13,3,20,2.35,8.53
ror,3,3,2,0.4,4.95
eocth,3,5,3,0.01,319.87
yp,2,2,12,3.81,3.15
kol,4,3,6,1.27,4.72
olch,5,4,5,0.15,32.53
kor,3,3,2,0.74,2.7
ych,38,3,25,1.25,20.03
co,3,2,2,49.69,0.04
ko,18,2,26,32.59,0.8
ycho,9,4,8,0.13,60.7
oees,6,4,6,0.3,19.8
odch,5,4,3,0.17,18.14
otche,2,5,1,0.01,106.62
ytal,2,4,1,0.01,88.03
od,89,2,89,32.88,2.71
dk,2,2,3,11.55,0.26
iir,2,3,3,0.09,33.09
epch,3,4,4,0.05,76.24
talo,2,4,1,0.04,24.62
rch,4,3,10,0.85,11.8
sk,3,2,5,13.98,0.36
opche,8,5,5,0.0,1073.89
ese,2,3,7,2.87,2.44
hch,2,3,6,3.32,1.81
fsh,2,3,4,0.3,13.31
ckhee,2,5,1,0.01,114.15
ypch,15,4,6,0.02,317.33
ckhol,2,5,1,0.0,210.82
ls,12,2,31,13.11,2.36
eoke,5,4,3,0.25,12.11
okeeo,3,5,2,0.02,90.94
eecth,2,5,1,0.01,137.39
eos,33,3,24,3.69,6.5
cth,51,3,35,1.29,27.15
ain,2,3,3,0.02,156.79
oee,6,3,14,6.73,2.08
cphod,4,5,2,0.0,950.07
tsho,6,4,4,0.11,36.93
oikh,3,4,2,0.06,31.6
ty,2,2,9,7.66,1.17
fch,3,3,11,0.38,29.12
eso,2,3,4,3.69,1.08
otsh,5,4,1,0.11,9.23
lsh,3,3,10,1.16,8.64
kal,14,3,7,0.46,15.12
ocfh,2,4,3,0.04,75.22
ch,230,2,242,37.24,6.5
oek,5,3,5,3.02,1.66
ol,79,2,104,30.59,3.4
teo,5,3,12,2.51,4.78
tsh,26,3,11,1.03,10.73
eockh,9,5,4,0.01,354.35
eod,33,3,19,3.05,6.23
daii,2,4,5,0.01,776.01
ckhe,24,4,5,0.13,39.31
alch,2,4,7,0.06,125.02
tsheo,2,5,2,0.01,268.11
keod,6,4,2,0.11,17.85
eto,2,3,2,2.51,0.8
yteeo,2,5,3,0.01,587.01
is,5,2,10,8.32,1.2
oeeo,2,4,1,0.71,1.4
oral,2,4,2,0.03,74.93
oko,8,3,8,3.89,2.06
okee,3,4,4,0.25,16.14
ara,2,3,9,0.28,31.87
fy,2,2,2,2.25,0.89
yshe,3,4,6,0.08,73.75
als,5,3,7,0.57,12.37
oksh,4,4,2,0.13,15.34
yk,11,2,20,9.21,2.17
cha,5,3,14,1.63,8.61
ochol,2,5,1,0.01,73.32
toe,2,3,1,2.51,0.4
air,2,3,4,0.16,25.0
ii,27,2,40,4.05,9.89
koi,2,3,2,0.8,2.49
psh,4,3,9,0.51,17.67
d*,2,2,2,3.27,0.61
ockh,41,4,9,0.16,54.91
ke,105,2,61,25.38,2.4
opy,6,3,2,0.45,4.45
che,31,3,61,3.46,17.63
oi,5,2,16,19.46,0.82
heo,7,3,52,6.46,8.05
olo,11,3,12,3.65,3.29
eai,2,3,2,0.65,3.06
chok,2,4,6,0.16,36.61
octho,4,5,1,0.01,82.74
ckh,165,3,29,1.55,18.69
dcth,2,4,1,0.05,20.93
ckhh,6,4,1,0.12,8.19
ocho,5,4,6,0.47,12.73
he,26,2,132,53.65,2.46
sh,38,2,110,29.73,3.7
otcho,3,5,2,0.01,165.49
ee,101,2,127,55.82,2.28
cph,54,3,27,0.64,42.17
aikh,2,4,1,0.02,43.38
or,41,2,48,17.92,2.68
keeo,14,4,6,0.25,24.21
aro,2,3,11,0.78,14.19
ytch,45,4,12,0.04,315.07
te,18,2,29,21.13,1.37
eoc,2,3,10,4.64,2.16
dsh,26,3,15,1.25,12.05
aii,15,3,21,0.17,120.74
okch,33,4,9,0.16,54.91
ald,6,3,7,0.47,14.99
kai,6,3,3,0.29,10.24
cfho,2,4,3,0.04,75.22
yo,3,2,12,26.28,0.46
kshe,2,4,3,0.1,29.65
ckho,16,4,9,0.16,54.91
kech,3,4,2,0.13,15.72
ols,11,3,15,1.55,9.66
olk,2,3,8,1.27,6.3
lor,2,3,1,0.69,1.44
hol,5,3,23,2.72,8.46
osch,2,4,4,0.2,19.96
eot,6,3,6,2.51,2.39
ksh,22,3,12,1.23,9.72
oka,3,3,5,1.42,3.52
kod,8,3,2,1.37,1.46
rol,2,3,3,0.69,4.32
ral,3,3,9,0.25,35.6
eek,10,3,4,2.35,1.71
heod,3,4,6,0.24,25.0
dch,4,3,7,1.57,4.47
lo,10,2,36,30.59,1.18
da,10,2,53,12.09,4.38
otch,20,4,5,0.14,36.72
pch,16,3,27,0.64,42.17
arch,2,4,3,0.03,92.02
cpheo,4,5,4,0.0,859.11
tche,5,4,9,0.11,85.16
eea,5,3,6,2.46,2.44
olke,2,4,3,0.1,28.81
opch,33,4,12,0.07,177.5
ss,2,2,3,17.06,0.18
okche,2,5,2,0.01,177.18
kcheo,5,5,1,0.01,88.59
iro,3,3,1,0.44,2.28
cfhe,2,4,2,0.03,64.62
ycheo,5,5,1,0.01,110.16
ep,3,2,9,10.54,0.85
sheo,3,4,19,0.29,65.32
tol,2,3,9,1.06,8.53
ala,2,3,6,0.48,12.37
ytcho,10,5,2,0.0,591.73
os,74,2,62,39.71,1.56
lda,2,3,12,0.47,25.69
odal,5,4,7,0.05,141.92
iin,5,3,9,0.01,830.19
keee,3,4,1,0.19,5.2
osh,10,3,10,3.54,2.82
dyt,2,3,2,0.32,6.29
eol,15,3,20,2.83,7.06
cphe,7,4,9,0.05,171.54
psho,2,4,2,0.05,37.19
ete,2,3,1,1.95,0.51
oro,5,3,10,2.13,4.7
eok,13,3,11,3.02,3.64
eoda,3,4,3,0.12,25.56
***,3,3,12,0.01,1136.13
et,16,2,16,21.13,0.76
ckhs,2,4,1,0.07,14.35
oeees,6,5,3,0.02,143.77
kch,87,3,28,1.55,18.05
ey***,2,5,1,0.0,46564.24
ckheo,9,5,1,0.01,88.59
odo,2,3,8,3.93,2.04
eols,4,4,1,0.13,7.85
ysho,4,4,1,0.1,9.54
octh,38,4,13,0.14,95.46
tch,103,3,32,1.29,24.82
ckhos,4,5,2,0.01,323.39
ro,13,2,31,17.92,1.73
oe,7,2,36,71.4,0.5
chee,3,4,13,0.28,45.81
eckh,5,4,4,0.13,31.45
hod,9,3,26,2.93,8.88
ecth,2,4,2,0.11,18.92
alo,3,3,10,1.33,7.51
ckha,3,4,2,0.06,33.5
pd,2,2,3,4.78,0.63
ockho,2,5,2,0.01,137.5
ytol,5,4,3,0.03,96.21
eys,2,3,1,1.03,0.97
ykch,3,4,4,0.05,87.26
dshe,9,4,5,0.1,48.99
eeod,5,4,6,0.25,24.0
olal,2,4,2,0.05,43.63
yt,72,2,53,7.66,6.92
hos,3,3,13,3.54,3.67
foch,2,4,1,0.04,25.07
ys,4,2,19,11.25,1.69
shes,2,4,1,0.12,8.09
och,29,3,20,4.46,4.49
ha,2,2,28,25.52,1.1
okeo,5,4,5,0.32,15.66
she,5,3,37,2.75,13.44
mo,3,2,4,1.67,2.4
teeo,3,4,3,0.21,14.57
qk,2,2,9,1.23,7.33
kcho,11,4,5,0.16,30.51
ees,21,3,36,2.87,12.56
yche,19,4,7,0.1,68.43
ck,7,2,40,17.54,2.28
fol,2,3,5,0.31,16.17
dyk,4,3,2,0.38,5.23
hold,2,4,2,0.1,19.83
iis,2,3,3,0.2,14.78
kche,5,4,7,0.13,55.03
to,18,2,28,27.15,1.03
cfh,19,3,13,0.38,34.42
chot,2,4,4,0.14,29.37
